ego	alter	pair	tie	village_code_ego	village_code_alter	T2	T1
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------0000000111122233344556666667777777888888889999aaabbbbbccdeeeeEfffffHklrs	none	26	26	0.04	0.0784313725490196
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	----------000000011111222223334444566777788888888889999aaaabbbccddddeEEfffffffrrss	none	26	26	0.041666666666666664	0.023809523809523808
4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+0001112222333444444444556666777888889999aaaaaaabbbbcdddeeeeeeffffffloVY	none	26	26	0.10344827586206896	0
+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------+0001112233344444455666667777777888999999aaaaaaabbbbbcdddeeeeefffffHklVY	none	26	26	0.020833333333333332	0
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+000111122223334444444456777788888999999aaaaaaaabbbcddddddeeEfffffffrsVY	yes	26	26	0.08695652173913043	0.03896103896103896
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+0000111123344444445556666777777888889999aaaaaabbbbbbbdddeeeeffffffHklVY	none	26	26	0.0707070707070707	0.024691358024691357
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+00000011111222334444445566677778888888889999aaaaaabbcddeeeEffffffffrsVY	none	26	26	0.03571428571428571	0.04081632653061224
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	----------00011112222223333344444444555666777888889aaaaaabbbbbbccccddeeeeEfffflors	none	26	26	0.038461538461538464	0.07317073170731707
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------00011112222333334444455566667777777888999aaaaaabbbbbbbccccddeeeEfffHklrs	yes	26	26	0.030303030303030304	0.06818181818181818
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	----------0001111122222233333444444455777788888999aaaaaaabbbbbccccdddddEEfffffrrss	none	26	26	0	0.030303030303030304
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	blkH-f76107be-0a15-446b-8f07-b58b8379db6e	----------00001111122233334444445555666777777888889aaaaabbbbbbbbbcccddeeEffffHklrs	none	26	26	0.1	0.05263157894736842
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	----------000000111111222223333444445556677778888888889aaaaabbbbccccdeEEffffffrrss	none	26	26	0	0.037037037037037035
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+001111122223333444444444555677778888999aaaaaaaaabbbbcccdddeeEffffffrsVY	yes	26	26	0.06060606060606061	0.037037037037037035
