gender.mm	gender.mf	indigenous.both	indigenous.one	religion.same	age_difference_abs	average_age	wealth_difference_abs	average_wealth	education_difference_abs	average_education	household_same	related	strain_sharing_rate	village_code_w3	bray_curtis_sim
FALSE	TRUE	TRUE	FALSE	TRUE	14	31	4	3	1	1.5	FALSE	0	9.090909090909092	21	0.5547294664188398
FALSE	TRUE	FALSE	FALSE	TRUE	44	45	1	1.5	3	1.5	FALSE	0	10.9375	21	0.6517036651703672
FALSE	TRUE	FALSE	TRUE	TRUE	22	27	1	4.5	3	4.5	FALSE	0	9.090909090909092	21	0.8946867789373558
FALSE	FALSE	TRUE	FALSE	FALSE	2	23	0	3	1	4.5	FALSE	0	9.803921568627452	21	0.5233452523345253
FALSE	TRUE	FALSE	TRUE	TRUE	7	26.5	1	1.5	3	4.5	FALSE	0	0	21	0.5337145165713706
TRUE	FALSE	FALSE	TRUE	TRUE	39	37.5	1	2.5	5	2.5	FALSE	0	4.225352112676056	21	0.5749170512209689
TRUE	FALSE	FALSE	TRUE	FALSE	33	39.5	2	2	6	3	FALSE	0	2.5316455696202533	21	0.6837972363668215
FALSE	FALSE	TRUE	FALSE	TRUE	28	39	1	3.5	3	1.5	FALSE	0	6.779661016949152	21	0.3472914958125512
TRUE	FALSE	TRUE	FALSE	TRUE	27	45.5	1	2.5	0	3	FALSE	0	6.153846153846154	21	0.5495318522425187
FALSE	FALSE	FALSE	TRUE	TRUE	27	32.5	3	2.5	3	1.5	FALSE	0	5.172413793103448	21	0.7403612571986913
FALSE	FALSE	TRUE	FALSE	TRUE	8	34	3	3.5	3	4.5	FALSE	0	3.260869565217391	21	0.8303145999999993
FALSE	TRUE	FALSE	TRUE	TRUE	8	36	1	1.5	3	3.5	FALSE	0	5.88235294117647	21	0.6740185651962871
FALSE	TRUE	FALSE	TRUE	TRUE	13	23.5	3	3.5	3	3.5	FALSE	0	4.49438202247191	21	0.6419979358002065
FALSE	TRUE	FALSE	TRUE	FALSE	31	38.5	3	2.5	6	3	FALSE	0	2.1739130434782608	21	0.5593097355858413
FALSE	FALSE	FALSE	TRUE	FALSE	13	30.5	2	2	2	4	FALSE	0	3.076923076923077	21	0.6671664833583247
TRUE	FALSE	TRUE	FALSE	TRUE	49	42.5	0	5	2	5	FALSE	0	6.666666666666667	21	0.7553525755352571
FALSE	FALSE	TRUE	FALSE	TRUE	43	37.5	1	2.5	6	3	FALSE	0	7.6923076923076925	21	0.5735749066062734
FALSE	FALSE	TRUE	FALSE	TRUE	11	38.5	3	2.5	3	1.5	FALSE	0	6.60377358490566	21	0.5707359999999999
FALSE	TRUE	FALSE	TRUE	TRUE	18	28	0	3	5	3.5	FALSE	0	5.714285714285714	21	0.700722785036139
FALSE	TRUE	TRUE	FALSE	TRUE	29	57.5	2	2	1	0.5	FALSE	0	4.25531914893617	21	0.5791997368799608
TRUE	FALSE	FALSE	TRUE	FALSE	39	37.5	1	1.5	5	2.5	FALSE	0	0	21	0.8863752147814107
FALSE	TRUE	FALSE	TRUE	TRUE	32	41	1	1.5	3	1.5	FALSE	0	8.333333333333332	21	0.7239406794385576
FALSE	TRUE	FALSE	TRUE	TRUE	19	25.5	0	3	0	6	FALSE	0	5.660377358490567	21	0.6562066171896689
FALSE	TRUE	TRUE	FALSE	TRUE	38	48	4	3	1	3.5	FALSE	0	9.722222222222223	21	0.7254769411784602
FALSE	FALSE	FALSE	TRUE	TRUE	12	29	1	3.5	2	5	FALSE	0	6.451612903225806	21	0.5888164766449427
