Model	Degree	Precision	SD
Strain-Sharing Network	1	7.792207792207792	0
Strain-Sharing Network	2	5	0
Strain-Sharing Network	3	4.25531914893617	0
Strain-Sharing Network	4	3.7383177570093453	0
Null Network	1	4.466902689252669	0.06569387771873213
Null Network	2	4.455441664828256	0.042673715470502575
Null Network	3	4.243833431523895	0.027164226518129084
Null Network	4	3.98861153852317	0.023063402140394703
