T2	T1	relationship	maha_dist	village_code_ego	ego
0.18181818181818182	0.5952380952380952	none	36.45463787781787	162	phxG-9e1064cf-62f8-4347-986e-342c98f6e933
0.14857142857142858	0.08333333333333333	none	56.4678592734021	162	phxG-90fe4ef5-1290-42e0-90fc-dc22bfe3f2cf
0.15384615384615385	0.12878787878787878	none	63.6422605439875	162	phxG-9e1064cf-62f8-4347-986e-342c98f6e933
0.2413793103448276	0.041237113402061855	none	40.54135793511193	162	3c88b33c-484a-4895-9059-5109cd1b0b40
0.11940298507462686	0.06818181818181818	none	17.47683967042198	162	phxG-9e1064cf-62f8-4347-986e-342c98f6e933
0.13829787234042554	0.15079365079365079	none	54.53822224157946	162	phxG-90fe4ef5-1290-42e0-90fc-dc22bfe3f2cf
0.09090909090909091	0.05263157894736842	none	45.041159807008796	162	3c88b33c-484a-4895-9059-5109cd1b0b40
0.05	0.09523809523809523	none	27.55639173398881	162	phxG-9e1064cf-62f8-4347-986e-342c98f6e933
0.09722222222222222	0.23333333333333334	none	60.68452368069579	162	phxG-90fe4ef5-1290-42e0-90fc-dc22bfe3f2cf
0.08450704225352113	0.10526315789473684	none	20.13066075894335	162	XXn4-04a9d390-d8d0-4da8-92b0-0437f82ff260
0.046875	0.011627906976744186	none	17.56707556095234	162	yOhj-a2b430ac-7032-40f3-9c65-7f4d20ac26be
0.12380952380952381	0.03333333333333333	none	52.69830369286282	162	yOhj-a2b430ac-7032-40f3-9c65-7f4d20ac26be
0.017543859649122806	0.01680672268907563	none	37.81490635490621	162	yOhj-a2b430ac-7032-40f3-9c65-7f4d20ac26be
0.11764705882352941	0.031496062992125984	none	55.158673912752455	162	yOhj-a2b430ac-7032-40f3-9c65-7f4d20ac26be
0.10666666666666667	0.08695652173913043	none	24.315337706822927	162	yOhj-a2b430ac-7032-40f3-9c65-7f4d20ac26be
0.2361111111111111	0.013513513513513514	none	37.75527513806671	162	79d742ce-a982-492e-acf0-f55e0869ff5e
0.15789473684210525	0.05660377358490566	none	20.661356491242024	162	phxG-9e1064cf-62f8-4347-986e-342c98f6e933
0.1554054054054054	0.05813953488372093	none	49.36143215379133	162	79d742ce-a982-492e-acf0-f55e0869ff5e
0.1797752808988764	0.06329113924050633	none	16.909279678244538	162	79d742ce-a982-492e-acf0-f55e0869ff5e
0.11594202898550725	0.04477611940298507	none	42.393921190183036	162	79d742ce-a982-492e-acf0-f55e0869ff5e
